#Parameters = {M=2; N=57.75; a=0.4; b=0.81; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0025; wgr6=1.625}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
60.000000000000	-38.816933866425
60.110000610352	-39.877351995370
60.220001220703	-41.372222075157
60.330001831055	-42.082947507572
60.439998626709	-41.148845030549
60.549999237061	-39.745517484588
60.659999847412	-38.922042631653
60.770000457764	-38.968208581565
60.880001068115	-39.898107296301
60.990001678467	-41.450225414878
61.099998474121	-42.543048386011
61.209999084473	-41.863785043263
61.319999694824	-40.343315253823
61.430000305176	-39.300872594668
61.540000915527	-39.139218445057
61.650001525879	-39.909762132571
61.759998321533	-41.452633404455
61.869998931885	-42.888240396676
61.979999542236	-42.573646142839
62.090000152588	-40.984920726674
62.200000762939	-39.718583368094
62.310001373291	-39.335306625930
62.419998168945	-39.922716677799
62.529998779297	-41.396989489294
62.639999389648	-43.103227585557
62.750000000000	-43.253089270063
62.860000610352	-41.670469275086
62.970001220703	-40.179387119694
63.080001831055	-39.561299790387
63.189998626709	-39.945785835704
63.299999237061	-41.301745496687
63.409999847412	-43.185612966829
63.520000457764	-43.867668702905
63.630001068115	-42.397451761945
63.740001678467	-40.687619622862
63.849998474121	-39.821768478324
63.959999084473	-39.986387749736
64.069999694824	-41.184232262100
64.180000305176	-43.146753894286
64.290000915527	-44.375833059599
64.400001525879	-43.158652276098
64.510002136230	-41.247613113514
64.620002746582	-40.121123013445
64.730003356934	-40.050698526662
64.839996337891	-41.059436519934
64.949996948242	-43.008585530952
65.059997558594	-44.735977765634
65.169998168945	-43.939273866863
65.279998779297	-41.863631971404
65.389999389648	-40.463870536869
65.500000000000	-40.144006469288
65.610000610352	-40.939683279935
65.720001220703	-42.798168844132
65.830001831055	-44.917741259310
65.940002441406	-44.712615836897
66.050003051758	-42.539302029199
66.160003662109	-40.854655193163
66.269996643066	-40.270852697681
66.379997253418	-40.834653541200
66.489997863770	-42.542449780413
66.599998474121	-44.913073707599
66.709999084473	-45.436003267449
66.819999694824	-43.277035686617
66.930000305176	-41.298635550604
67.040000915527	-40.435457545046
67.150001525879	-40.751846618377
67.260002136230	-42.264824732058
67.370002746582	-44.739178097561
67.480003356934	-46.048632913468
67.589996337891	-44.076090385412
67.699996948242	-41.801553464901
67.809997558594	-40.641934627738
67.919998168945	-40.697081174188
68.029998779297	-41.983904865808
68.139999389648	-44.431956709089
68.250000000000	-46.478492579647
68.360000610352	-44.929313763328
68.470001220703	-42.370016316214
68.580001831055	-40.894726803962
68.690002441406	-40.675187567258
68.800003051758	-41.713882017654
68.910003662109	-44.034593901694
69.019996643066	-46.662876667486
69.129997253418	-45.816588780766
69.239997863770	-43.011030861040
69.349998474121	-41.198392189657
69.459999084473	-40.689947662706
69.569999694824	-41.464759976226
69.680000305176	-43.587068511158
69.790000915527	-46.576228561654
69.900001525879	-46.695853338944
70.010002136230	-43.732404377122
70.120002746582	-41.558366685612
70.230003356934	-40.744875960079
70.339996337891	-41.243618281996
70.449996948242	-43.121204736080
70.559997558594	-46.243299001711
70.669998168945	-47.490543299244
70.779998779297	-44.541565188092
70.889999389648	-41.981013352718
71.000000000000	-40.843312516721
71.110000610352	-41.055307187579
71.220001220703	-42.659692937466
71.330001831055	-45.725805964571
71.440002441406	-48.085170284403
71.550003051758	-45.443503449136
71.660003662109	-42.474156472326
71.769996643066	-40.988902646530
71.879997253418	-40.903358147072
71.989997863770	-42.217718093599
72.099998474121	-45.095417549187
72.209999084473	-48.350468070575
72.319999694824	-46.435254478003
72.430000305176	-43.047386215864
72.540000915527	-41.185748430421
72.650001525879	-40.790414583117
72.760002136230	-41.804773774361
72.870002746582	-44.412962336285
72.980003356934	-48.208024624345
73.089996337891	-47.493787751920
73.199996948242	-43.712565933652
73.309997558594	-41.438736828171
73.419998168945	-40.718655830952
73.529998779297	-41.426418875435
73.639999389648	-43.721261412185
73.750000000000	-47.684995860558
73.860000610352	-48.551660176762
73.970001220703	-44.484413293371
74.080001831055	-41.753997093540
74.190002441406	-40.690203701275
74.300003051758	-41.085707377753
74.410003662109	-43.046859250908
74.519996643066	-46.893197667700
74.629997253418	-49.459821819201
74.739997863770	-45.380490067155
74.849998474121	-42.139321095520
74.959999084473	-40.707350232685
75.069999694824	-40.784097271647
75.180000305176	-42.404412477381
75.290000915527	-45.959396377576
75.400001525879	-49.974656494571
75.510002136230	-46.419893460615
75.620002746582	-42.604941921216
75.730003356934	-40.772942951770
75.839996337891	-40.522259375719
75.949996948242	-41.801071117842
76.059997558594	-44.979061240048
76.169998168945	-49.864958270260
76.279998779297	-47.616845097096
76.389999389648	-43.164415255261
76.500000000000	-40.890560494145
76.610000610352	-40.300387741101
76.720001220703	-41.239292686428
76.830001831055	-44.008704189684
76.940002441406	-49.115080847211
77.050003051758	-48.958973690034
77.160003662109	-43.836063882619
77.269996643066	-41.064903105923
77.379997253418	-40.118542775169
77.489997863770	-40.718812137055
77.599998474121	-43.076211214527
77.709999084473	-47.939930048931
77.819999694824	-50.343756244099
77.930000305176	-44.645253295652
78.040000915527	-41.302356835187
78.150001525879	-39.976969719102
78.260002136230	-40.237930384648
78.370002746582	-42.192411126191
78.480003356934	-46.586255405121
78.589996337891	-51.442427737253
78.699996948242	-45.627437446796
78.809997558594	-41.611609946660
78.919998168945	-39.876206416597
79.029998779297	-39.794088265662
79.139999389648	-41.358742103793
79.250000000000	-45.209726348121
79.360000610352	-51.655523195125
79.470001220703	-46.832295566863
79.580001831055	-42.004736210579
79.690002441406	-39.817310938237
79.800003051758	-39.384288294546
79.910003662109	-40.571838119513
80.019996643066	-43.880512125835
80.129997253418	-50.660688962351
80.239997863770	-48.325913654669
80.349998474121	-42.498874787193
80.459999084473	-39.802058759725
80.569999694824	-39.005236610097
80.680000305176	-39.825842516705
80.790000915527	-42.620409246919
80.900001525879	-48.886654046445
81.010002136230	-50.171946431796
81.120002746582	-43.119097572809
81.230003356934	-39.833252094896
81.339996337891	-38.653412452433
81.449996948242	-39.113537301039
81.559997558594	-41.428673326221
81.669998168945	-46.894624800257
81.779998779297	-52.283043462766
81.889999389648	-43.903487170693
82.000000000000	-39.915160053036
82.110000610352	-38.325042419906
82.220001220703	-38.426803984524
82.330001831055	-40.294995568694
82.440002441406	-44.952256693119
82.550003051758	-53.768825219471
82.660003662109	-44.912695111444
82.769996643066	-40.054061954530
82.879997253418	-38.015862195122
82.989997863770	-37.756500779236
83.099998474121	-39.204865280670
83.209999084473	-43.128258161823
83.319999694824	-52.754503081650
83.430000305176	-46.250399339612
83.540000915527	-40.259420968159
83.650001525879	-37.720963076858
83.760002136230	-37.092230375002
83.870002746582	-38.141603592072
83.980003356934	-41.415932576188
84.089996337891	-49.815068317485
84.199996948242	-48.110286235894
84.309997558594	-40.545529108482
84.419998168945	-37.434267451922
84.529998779297	-36.421585341216
84.639999389648	-37.086426100308
84.750000000000	-39.785315564740
84.860000610352	-46.686492327519
84.970001220703	-50.899923714708
85.080001831055	-40.934882212224
85.190002441406	-37.147974251832
85.300003051758	-35.729226430259
85.410003662109	-36.017728997451
85.519996643066	-38.199703270053
85.629997253418	-43.837789672458
85.739997863770	-55.482705784633
85.849998474121	-41.463910659630
85.959999084473	-36.851053014023
86.069999694824	-34.994824776666
86.180000305176	-34.908863218986
86.290000915527	-36.618059623911
86.400001525879	-41.237598990639
86.510002136230	-58.186901560711
86.620002746582	-42.195884617366
86.730003356934	-36.527272667802
86.839996337891	-34.190269601921
86.949996948242	-33.725053394402
87.059997558594	-34.992801673143
87.169998168945	-38.776921923256
87.279998779297	-50.951888743105
87.389999389648	-43.248115079758
87.500000000000	-36.150386923958
87.610000610352	-33.273850798226
87.720001220703	-32.416981929880
87.830001831055	-33.262586119425
87.940002441406	-36.338659904009
88.050003051758	-45.137524622368
88.160003662109	-44.856182627192
88.269996643066	-35.674813758944
88.379997253418	-32.179583172916
88.489997863770	-30.908884091908
88.599998474121	-31.338464054759
88.709999084473	-33.788647609762
88.819999694824	-40.474959205111
88.930000305176	-47.443677330698
89.040000915527	-35.015028100802
89.150001525879	-30.795411866999
89.260002136230	-29.073545052444
89.370002746582	-29.073948487674
89.480003356934	-30.935705025828
89.589996337891	-36.098304363526
89.699996948242	-49.160976999154
89.809997558594	-33.999382659577
89.919998168945	-28.918066031049
90.029998779297	-26.677297634916
90.139999389648	-26.196053174984
90.250000000000	-27.439185257536
90.360000610352	-31.295158641330
90.470001220703	-41.187051955552
90.580001831055	-32.207499500113
90.690002441406	-26.132964066629
90.800003051758	-23.229527796006
90.910003662109	-22.109096997064
91.019996643066	-22.546347476369
