+1.1000000E+02	+2.7581856E-02	-5.2557662E-02
+1.1006000E+02	+2.0217584E-02	-5.5871777E-02
+1.1012000E+02	+1.2467705E-02	-5.8159951E-02
+1.1018000E+02	+4.4742553E-03	-5.9379268E-02
+1.1024000E+02	-3.6162245E-03	-5.9506368E-02
+1.1030000E+02	-1.1655387E-02	-5.8537845E-02
+1.1036000E+02	-1.9495910E-02	-5.6490280E-02
+1.1042000E+02	-2.6993914E-02	-5.3399976E-02
+1.1048000E+02	-3.4011766E-02	-4.9322262E-02
+1.1054000E+02	-4.0420603E-02	-4.4330440E-02
+1.1060000E+02	-4.6102460E-02	-3.8514547E-02
+1.1066000E+02	-5.0952677E-02	-3.1979583E-02
+1.1072000E+02	-5.4881569E-02	-2.4843743E-02
+1.1078000E+02	-5.7816144E-02	-1.7236162E-02
+1.1084000E+02	-5.9701409E-02	-9.2946645E-03
+1.1090000E+02	-6.0501389E-02	-1.1631796E-03
+1.1096000E+02	-6.0199697E-02	+7.0107919E-03
+1.1102000E+02	-5.8799908E-02	+1.5078813E-02
+1.1108000E+02	-5.6325465E-02	+2.2894287E-02
+1.1114000E+02	-5.2819230E-02	+3.0315019E-02
+1.1120000E+02	-4.8342787E-02	+3.7205800E-02
+1.1126000E+02	-4.2975273E-02	+4.3440823E-02
+1.1132000E+02	-3.6811952E-02	+4.8906021E-02
+1.1138000E+02	-2.9962579E-02	+5.3501010E-02
+1.1144000E+02	-2.2549396E-02	+5.7140984E-02
+1.1150000E+02	-1.4704886E-02	+5.9758171E-02
+1.1156000E+02	-6.5695317E-03	+6.1303139E-02
+1.1162000E+02	+1.7108265E-03	+6.1745610E-02
+1.1168000E+02	+9.9875443E-03	+6.1075062E-02
+1.1174000E+02	+1.8111764E-02	+5.9300900E-02
+1.1180000E+02	+2.5937211E-02	+5.6452312E-02
+1.1186000E+02	+3.3322643E-02	+5.2577775E-02
+1.1192000E+02	+4.0134575E-02	+4.7744181E-02
+1.1198000E+02	+4.6249460E-02	+4.2035662E-02
+1.1204000E+02	+5.1556006E-02	+3.5552137E-02
+1.1210000E+02	+5.5957165E-02	+2.8407477E-02
+1.1216000E+02	+5.9371859E-02	+2.0727590E-02
+1.1222000E+02	+6.1736401E-02	+1.2648107E-02
+1.1228000E+02	+6.3005686E-02	+4.3120356E-03
+1.1234000E+02	+6.3153990E-02	-4.1327858E-03
+1.1240000E+02	+6.2175475E-02	-1.2536302E-02
+1.1246000E+02	+6.0084246E-02	-2.0748897E-02
+1.1252000E+02	+5.6914203E-02	-2.8624030E-02
+1.1258000E+02	+5.2718386E-02	-3.6020841E-02
+1.1264000E+02	+4.7568176E-02	-4.2806663E-02
+1.1270000E+02	+4.1551925E-02	-4.8859302E-02
+1.1276000E+02	+3.4773484E-02	-5.4069314E-02
+1.1282000E+02	+2.7350366E-02	-5.8341879E-02
+1.1288000E+02	+1.9411828E-02	-6.1598439E-02
+1.1294000E+02	+1.1096414E-02	-6.3778251E-02
+1.1300000E+02	+2.5495696E-03	-6.4839333E-02
+1.1306000E+02	-6.0787145E-03	-6.4759336E-02
+1.1312000E+02	-1.4636724E-02	-6.3535869E-02
+1.1318000E+02	-2.2973621E-02	-6.1186653E-02
+1.1324000E+02	-3.0942095E-02	-5.7749178E-02
+1.1330000E+02	-3.8400866E-02	-5.3280164E-02
+1.1336000E+02	-4.5217358E-02	-4.7854453E-02
+1.1342000E+02	-5.1269766E-02	-4.1563887E-02
+1.1348000E+02	-5.6449402E-02	-3.4515649E-02
+1.1354000E+02	-6.0662538E-02	-2.6830439E-02
+1.1360000E+02	-6.3832060E-02	-1.8640354E-02
+1.1366000E+02	-6.5898880E-02	-1.0086727E-02
+1.1372000E+02	-6.6822961E-02	-1.3174844E-03
+1.1378000E+02	-6.6584021E-02	+7.5152041E-03
+1.1384000E+02	-6.5181985E-02	+1.6257668E-02
+1.1390000E+02	-6.2636994E-02	+2.4757447E-02
+1.1396000E+02	-5.8989055E-02	+3.2865796E-02
+1.1402000E+02	-5.4297455E-02	+4.0440388E-02
+1.1408000E+02	-4.8639722E-02	+4.7347769E-02
+1.1414000E+02	-4.2110335E-02	+5.3465597E-02
+1.1420000E+02	-3.4819115E-02	+5.8684900E-02
+1.1426000E+02	-2.6889388E-02	+6.2911928E-02
+1.1432000E+02	-1.8455846E-02	+6.6069752E-02
+1.1438000E+02	-9.6622538E-03	+6.8099722E-02
+1.1444000E+02	-6.5901835E-04	+6.8962418E-02
+1.1450000E+02	+8.3993990E-03	+6.8638444E-02
+1.1456000E+02	+1.7357137E-02	+6.7128755E-02
+1.1462000E+02	+2.6059605E-02	+6.4454682E-02
+1.1468000E+02	+3.4356140E-02	+6.0657624E-02
+1.1474000E+02	+4.2102575E-02	+5.5798423E-02
+1.1480000E+02	+4.9163748E-02	+4.9956243E-02
+1.1486000E+02	+5.5415828E-02	+4.3227404E-02
+1.1492000E+02	+6.0748462E-02	+3.5723645E-02
+1.1498000E+02	+6.5066695E-02	+2.7570294E-02
+1.1504000E+02	+6.8292581E-02	+1.8904228E-02
+1.1510000E+02	+7.0366599E-02	+9.8714205E-03
+1.1516000E+02	+7.1248695E-02	+6.2459405E-04
+1.1522000E+02	+7.0918985E-02	-8.6794142E-03
+1.1528000E+02	+6.9378167E-02	-1.7882302E-02
+1.1534000E+02	+6.6647537E-02	-2.6826998E-02
+1.1540000E+02	+6.2768683E-02	-3.5360325E-02
+1.1546000E+02	+5.7802781E-02	-4.3335598E-02
+1.1552000E+02	+5.1829699E-02	-5.0615143E-02
+1.1558000E+02	+4.4946607E-02	-5.7072636E-02
+1.1564000E+02	+3.7266374E-02	-6.2595293E-02
+1.1570000E+02	+2.8915714E-02	-6.7085750E-02
+1.1576000E+02	+2.0033108E-02	-7.0463806E-02
+1.1582000E+02	+1.0766437E-02	-7.2667792E-02
+1.1588000E+02	+1.2705607E-03	-7.3655613E-02
+1.1594000E+02	-8.2953479E-03	-7.3405601E-02
+1.1600000E+02	-1.7770389E-02	-7.1916796E-02
+1.1606000E+02	-2.6994681E-02	-6.9209144E-02
+1.1612000E+02	-3.5812031E-02	-6.5323077E-02
+1.1618000E+02	-4.4072628E-02	-6.0319018E-02
+1.1624000E+02	-5.1635411E-02	-5.4276314E-02
+1.1630000E+02	-5.8370706E-02	-4.7291964E-02
+1.1636000E+02	-6.4162150E-02	-3.9479110E-02
+1.1642000E+02	-6.8908922E-02	-3.0965006E-02
+1.1648000E+02	-7.2527237E-02	-2.1889217E-02
+1.1654000E+02	-7.4951932E-02	-1.2400999E-02
+1.1660000E+02	-7.6137565E-02	-2.6570342E-03
+1.1666000E+02	-7.6059185E-02	+7.1812123E-03
+1.1672000E+02	-7.4712843E-02	+1.6950233E-02
+1.1678000E+02	-7.2115675E-02	+2.6487127E-02
+1.1684000E+02	-6.8305641E-02	+3.5632275E-02
+1.1690000E+02	-6.3340999E-02	+4.4232111E-02
+1.1696000E+02	-5.7299402E-02	+5.2141611E-02
+1.1702000E+02	-5.0276551E-02	+5.9226695E-02
+1.1708000E+02	-4.2384718E-02	+6.5366603E-02
+1.1714000E+02	-3.3750981E-02	+7.0455700E-02
+1.1720000E+02	-2.4515050E-02	+7.4405499E-02
+1.1726000E+02	-1.4827011E-02	+7.7146016E-02
+1.1732000E+02	-4.8450083E-03	+7.8627005E-02
+1.1738000E+02	+5.2676075E-03	+7.8818858E-02
+1.1744000E+02	+1.5344736E-02	+7.7713095E-02
+1.1750000E+02	+2.5220331E-02	+7.5322568E-02
+1.1756000E+02	+3.4731131E-02	+7.1681321E-02
+1.1762000E+02	+4.3719362E-02	+6.6844054E-02
+1.1768000E+02	+5.2035313E-02	+6.0885299E-02
+1.1774000E+02	+5.9539881E-02	+5.3898193E-02
+1.1780000E+02	+6.6106774E-02	+4.5993034E-02
+1.1786000E+02	+7.1624644E-02	+3.7295509E-02
+1.1792000E+02	+7.5999007E-02	+2.7944652E-02
+1.1798000E+02	+7.9153754E-02	+1.8090621E-02
+1.1804000E+02	+8.1032448E-02	+7.8922547E-03
+1.1810000E+02	+8.1599288E-02	-2.4854955E-03
+1.1816000E+02	+8.0839783E-02	-1.2874240E-02
+1.1822000E+02	+7.8760982E-02	-2.3104893E-02
+1.1828000E+02	+7.5391419E-02	-3.3010416E-02
+1.1834000E+02	+7.0780687E-02	-4.2428549E-02
+1.1840000E+02	+6.4998746E-02	-5.1204450E-02
+1.1846000E+02	+5.8134705E-02	-5.9193231E-02
+1.1852000E+02	+5.0295543E-02	-6.6262312E-02
+1.1858000E+02	+4.1604329E-02	-7.2293632E-02
+1.1864000E+02	+3.2198295E-02	-7.7185564E-02
+1.1870000E+02	+2.2226658E-02	-8.0854580E-02
+1.1876000E+02	+1.1848217E-02	-8.3236687E-02
+1.1882000E+02	+1.2288057E-03	-8.4288485E-02
+1.1888000E+02	-9.4614048E-03	-8.3987840E-02
+1.1894000E+02	-2.0050522E-02	-8.2334407E-02
+1.1900000E+02	-3.0367875E-02	-7.9349570E-02
