+1.1000000E+02	-2.3225306E-02	+2.5403172E-02
+1.1006000E+02	-2.2182245E-02	+2.9871106E-02
+1.1012000E+02	-2.0141078E-02	+3.4013487E-02
+1.1018000E+02	-1.7209016E-02	+3.7611417E-02
+1.1024000E+02	-1.3540073E-02	+4.0477864E-02
+1.1030000E+02	-9.3261125E-03	+4.2467378E-02
+1.1036000E+02	-4.7861519E-03	+4.3483432E-02
+1.1042000E+02	-1.5413301E-04	+4.3483015E-02
+1.1048000E+02	+4.3338113E-03	+4.2478308E-02
+1.1054000E+02	+8.4521165E-03	+4.0535357E-02
+1.1060000E+02	+1.1997877E-02	+3.7769888E-02
+1.1066000E+02	+1.4801398E-02	+3.4340449E-02
+1.1072000E+02	+1.6735056E-02	+3.0439379E-02
+1.1078000E+02	+1.7719612E-02	+2.6282031E-02
+1.1084000E+02	+1.7727934E-02	+2.2094894E-02
+1.1090000E+02	+1.6785838E-02	+1.8103257E-02
+1.1096000E+02	+1.4970076E-02	+1.4519087E-02
+1.1102000E+02	+1.2403616E-02	+1.1529757E-02
+1.1108000E+02	+9.2484653E-03	+9.2882365E-03
+1.1114000E+02	+5.6964979E-03	+7.9052476E-03
+1.1120000E+02	+1.9587693E-03	+7.4437787E-03
+1.1126000E+02	-1.7460881E-03	+7.9162419E-03
+1.1132000E+02	-5.2037113E-03	+9.2843743E-03
+1.1138000E+02	-8.2155298E-03	+1.1461886E-02
+1.1144000E+02	-1.0609272E-02	+1.4319633E-02
+1.1150000E+02	-1.2247984E-02	+1.7693078E-02
+1.1156000E+02	-1.3036964E-02	+2.1391531E-02
+1.1162000E+02	-1.2928447E-02	+2.5208740E-02
+1.1168000E+02	-1.1923633E-02	+2.8934140E-02
+1.1174000E+02	-1.0072082E-02	+3.2364283E-02
+1.1180000E+02	-7.4685416E-03	+3.5313699E-02
+1.1186000E+02	-4.2473115E-03	+3.7624691E-02
+1.1192000E+02	-5.7460571E-04	+3.9175548E-02
+1.1198000E+02	+3.3607513E-03	+3.9886694E-02
+1.1204000E+02	+7.3577268E-03	+3.9724518E-02
+1.1210000E+02	+1.1214043E-02	+3.8702734E-02
+1.1216000E+02	+1.4737144E-02	+3.6881074E-02
+1.1222000E+02	+1.7754335E-02	+3.4361634E-02
+1.1228000E+02	+2.0122018E-02	+3.1282917E-02
+1.1234000E+02	+2.1733008E-02	+2.7811965E-02
+1.1240000E+02	+2.2522004E-02	+2.4135102E-02
+1.1246000E+02	+2.2468612E-02	+2.0447662E-02
+1.1252000E+02	+2.1598011E-02	+1.6943397E-02
+1.1258000E+02	+1.9979114E-02	+1.3804049E-02
+1.1264000E+02	+1.7720407E-02	+1.1189691E-02
+1.1270000E+02	+1.4963707E-02	+9.2303073E-03
+1.1276000E+02	+1.1876176E-02	+8.0191232E-03
+1.1282000E+02	+8.6410623E-03	+7.6079336E-03
+1.1288000E+02	+5.4476685E-03	+8.0047389E-03
+1.1294000E+02	+2.4810948E-03	+9.1737499E-03
+1.1300000E+02	-8.7698405E-05	+1.1037750E-02
+1.1306000E+02	-2.1109534E-03	+1.3482662E-02
+1.1312000E+02	-3.4718548E-03	+1.6364055E-02
+1.1318000E+02	-4.0905280E-03	+1.9515226E-02
+1.1324000E+02	-3.9279507E-03	+2.2756385E-02
+1.1330000E+02	-2.9877143E-03	+2.5904480E-02
+1.1336000E+02	-1.3154068E-03	+2.8783076E-02
+1.1342000E+02	+1.0042831E-03	+3.1231809E-02
+1.1348000E+02	+3.8524321E-03	+3.3114858E-02
+1.1354000E+02	+7.0826523E-03	+3.4328051E-02
+1.1360000E+02	+1.0529200E-02	+3.4804162E-02
+1.1366000E+02	+1.4016101E-02	+3.4516193E-02
+1.1372000E+02	+1.7366719E-02	+3.3478480E-02
+1.1378000E+02	+2.0413278E-02	+3.1745523E-02
+1.1384000E+02	+2.3005797E-02	+2.9408682E-02
+1.1390000E+02	+2.5020028E-02	+2.6590953E-02
+1.1396000E+02	+2.6363889E-02	+2.3440022E-02
+1.1402000E+02	+2.6982186E-02	+2.0120125E-02
+1.1408000E+02	+2.6859196E-02	+1.6803050E-02
+1.1414000E+02	+2.6019199E-02	+1.3658801E-02
+1.1420000E+02	+2.4524823E-02	+1.0846487E-02
+1.1426000E+02	+2.2473317E-02	+8.5058324E-03
+1.1432000E+02	+1.9991035E-02	+6.7498214E-03
+1.1438000E+02	+1.7226366E-02	+5.6588533E-03
+1.1444000E+02	+1.4341569E-02	+5.2766823E-03
+1.1450000E+02	+1.1503905E-02	+5.6083775E-03
+1.1456000E+02	+8.8765966E-03	+6.6203712E-03
+1.1462000E+02	+6.6100629E-03	+8.2425931E-03
+1.1468000E+02	+4.8339362E-03	+1.0372541E-02
+1.1474000E+02	+3.6502534E-03	+1.2881070E-02
+1.1480000E+02	+3.1281500E-03	+1.5619569E-02
+1.1486000E+02	+3.3004559E-03	+1.8428111E-02
+1.1492000E+02	+4.1621928E-03	+2.1144159E-02
+1.1498000E+02	+5.6711473E-03	+2.3611337E-02
+1.1504000E+02	+7.7504115E-03	+2.5687810E-02
+1.1510000E+02	+1.0292809E-02	+2.7253801E-02
+1.1516000E+02	+1.3166955E-02	+2.8217858E-02
+1.1522000E+02	+1.6224410E-02	+2.8521581E-02
+1.1528000E+02	+1.9307896E-02	+2.8142493E-02
+1.1534000E+02	+2.2259776E-02	+2.7094984E-02
+1.1540000E+02	+2.4930509E-02	+2.5429312E-02
+1.1546000E+02	+2.7186785E-02	+2.3228478E-02
+1.1552000E+02	+2.8918391E-02	+2.0603709E-02
+1.1558000E+02	+3.0044077E-02	+1.7688153E-02
+1.1564000E+02	+3.0515719E-02	+1.4629560E-02
+1.1570000E+02	+3.0320629E-02	+1.1582263E-02
+1.1576000E+02	+2.9482026E-02	+8.6987764E-03
+1.1582000E+02	+2.8057471E-02	+6.1216438E-03
+1.1588000E+02	+2.6135584E-02	+3.9758170E-03
+1.1594000E+02	+2.3831034E-02	+2.3620613E-03
+1.1600000E+02	+2.1278169E-02	+1.3516970E-03
+1.1606000E+02	+1.8623674E-02	+9.8296534E-04
+1.1612000E+02	+1.6018584E-02	+1.2591975E-03
+1.1618000E+02	+1.3610116E-02	+2.1488699E-03
+1.1624000E+02	+1.1533782E-02	+3.5875351E-03
