#Parameters = {r=0.1; M=2; N=57.75; a=0.4; b=0.75; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0004; wgr6=1.625}
#"Frequency / GHz"	"S1,1 (1) [Magnitude / dB]"
#---------------------------------------------
60.000000000000	-47.295724036834
60.110000610352	-47.111757113548
60.220001220703	-48.016759505693
60.330001831055	-49.913391593369
60.439998626709	-51.817218596024
60.549999237061	-51.307272163160
60.659999847412	-49.221318037880
60.770000457764	-47.717351640098
60.880001068115	-47.294976783755
60.990001678467	-47.999548724888
61.099998474121	-49.801579581409
61.209999084473	-52.036587880269
61.319999694824	-52.126009087273
61.430000305176	-49.966940510787
61.540000915527	-48.184071474077
61.650001525879	-47.507765631990
61.759998321533	-47.993892464134
61.869998931885	-49.650634700002
61.979999542236	-52.092630548068
62.090000152588	-52.895802408790
62.200000762939	-50.774821901531
62.310001373291	-48.701422690833
62.419998168945	-47.754438699895
62.529998779297	-48.006556100955
62.639999389648	-49.479392445415
62.750000000000	-52.000811648144
62.860000610352	-53.560914107063
62.970001220703	-51.646242023095
63.080001831055	-49.275631931091
63.189998626709	-48.039239600530
63.299999237061	-48.043022174715
63.409999847412	-49.303358338404
63.520000457764	-51.791014648679
63.630001068115	-54.055672903507
63.740001678467	-52.577488452262
63.849998474121	-49.914032117396
63.959999084473	-48.366768624171
64.069999694824	-48.108026242840
64.180000305176	-49.134848342991
64.290000915527	-51.499099863128
64.400001525879	-54.322004997223
64.510002136230	-53.554227014059
64.620002746582	-50.624930618561
64.730003356934	-48.741890684697
64.839996337891	-48.205518928809
64.949996948242	-48.983016567043
65.059997558594	-51.158927118337
65.169998168945	-54.333307016005
65.279998779297	-54.542622476355
65.389999389648	-51.418073888088
65.500000000000	-49.170327821726
65.610000610352	-48.339276860867
65.720001220703	-48.854818559513
65.830001831055	-50.798605093955
65.940002441406	-54.108164919482
66.050003051758	-55.476246076111
66.160003662109	-52.304313521133
66.269996643066	-49.658788373785
66.379997253418	-48.512938134540
66.489997863770	-48.755355713578
66.599998474121	-50.439090052997
66.709999084473	-53.700572741395
66.819999694824	-56.245566645135
66.930000305176	-53.294640492256
67.040000915527	-50.215385754470
67.150001525879	-48.730292519924
67.260002136230	-48.688501526167
67.370002746582	-50.095093698656
67.480003356934	-53.176947376696
67.589996337891	-56.712362544317
67.699996948242	-54.397674517100
67.809997558594	-50.850356381733
67.919998168945	-48.995603922560
68.029998779297	-48.657335288268
68.139999389648	-49.776352075434
68.250000000000	-52.595957791665
68.360000610352	-56.768361145889
68.470001220703	-55.611305811924
