#Parameters = {r=0.1; M=2; N=57.75; a=0.4; b=0.75; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0004; wgr6=1.625}
#"Frequency / GHz"	"S2,1 (1) [Magnitude / dB]"
#---------------------------------------------
60.000000000000	-27.765885232869
60.110000610352	-27.823374285930
60.220001220703	-27.880611914621
60.330001831055	-27.937597373762
60.439998626709	-27.994321664053
60.549999237061	-28.050778822188
60.659999847412	-28.106970791097
60.770000457764	-28.162893239584
60.880001068115	-28.218548352561
60.990001678467	-28.273939246691
61.099998474121	-28.329067574655
61.209999084473	-28.383936623641
61.319999694824	-28.438544568891
61.430000305176	-28.492891564619
61.540000915527	-28.546976892422
61.650001525879	-28.600795961562
61.759998321533	-28.654347013321
61.869998931885	-28.707629109672
61.979999542236	-28.760641716573
62.090000152588	-28.813383876220
62.200000762939	-28.865857162782
62.310001373291	-28.918062693987
62.419998168945	-28.969998197307
62.529998779297	-29.021662895076
62.639999389648	-29.073054491308
62.750000000000	-29.124170916581
62.860000610352	-29.175010315302
62.970001220703	-29.225573348289
63.080001831055	-29.275862074680
63.189998626709	-29.325877245946
63.299999237061	-29.375621242869
63.409999847412	-29.425091385133
63.520000457764	-29.474286901929
63.630001068115	-29.523201872102
63.740001678467	-29.571832892336
63.849998474121	-29.620173837260
63.959999084473	-29.668223201830
64.069999694824	-29.715982386372
64.180000305176	-29.763455070496
64.290000915527	-29.810647954401
64.400001525879	-29.857565857263
64.510002136230	-29.904208982535
64.620002746582	-29.950573702725
64.730003356934	-29.996654771759
64.839996337891	-30.042440091158
64.949996948242	-30.087924244266
65.059997558594	-30.133102192790
65.169998168945	-30.177974223160
65.279998779297	-30.222549430567
65.389999389648	-30.266833971683
65.500000000000	-30.310840439354
65.610000610352	-30.354570448920
65.720001220703	-30.398020606277
65.830001831055	-30.441180204227
65.940002441406	-30.484040255729
66.050003051758	-30.526580897845
66.160003662109	-30.568797652322
66.269996643066	-30.610688348914
66.379997253418	-30.652260664254
66.489997863770	-30.693529065289
66.599998474121	-30.734504774615
66.709999084473	-30.775201919602
66.819999694824	-30.815614636754
66.930000305176	-30.855739092790
67.040000915527	-30.895557229709
67.150001525879	-30.935053356828
67.260002136230	-30.974213909613
67.370002746582	-31.013033087907
67.480003356934	-31.051516925078
67.589996337891	-31.089672914138
67.699996948242	-31.127518473627
67.809997558594	-31.165063442722
67.919998168945	-31.202311749946
68.029998779297	-31.239259337315
68.139999389648	-31.275893621139
68.250000000000	-31.312202569480
68.360000610352	-31.348169692197
68.470001220703	-31.383791688247
68.580001831055	-31.419066065769
68.690002441406	-31.454000214940
68.800003051758	-31.488604929005
68.910003662109	-31.522885632813
69.019996643066	-31.556846889679
69.129997253418	-31.590483325144
69.239997863770	-31.623792901498
69.349998474121	-31.656764137723
69.459999084473	-31.689387632653
69.569999694824	-31.721660708291
69.680000305176	-31.753582700174
69.790000915527	-31.785153695164
69.900001525879	-31.816376627724
70.010002136230	-31.847252140779
70.120002746582	-31.877781138689
70.230003356934	-31.907960884331
70.339996337891	-31.937787326092
70.449996948242	-31.967260634194
70.559997558594	-31.996376187181
70.669998168945	-32.025135074249
70.779998779297	-32.053534815966
70.889999389648	-32.081575576151
71.000000000000	-32.109250873143
71.110000610352	-32.136554673382
71.220001220703	-32.163482746171
71.330001831055	-32.190030805389
71.440002441406	-32.216197643583
71.550003051758	-32.241986480122
71.660003662109	-32.267404012067
71.769996643066	-32.292451803556
71.879997253418	-32.317130382115
71.989997863770	-32.341440111225
72.099998474121	-32.365368844778
72.209999084473	-32.388906142194
72.319999694824	-32.412041166200
72.430000305176	-32.434771563428
72.540000915527	-32.457094045861
72.650001525879	-32.479012648337
72.760002136230	-32.500539094908
72.870002746582	-32.521676157095
72.980003356934	-32.542424424808
73.089996337891	-32.562777908681
73.199996948242	-32.582725229202
73.309997558594	-32.602252209040
73.419998168945	-32.621347361355
73.529998779297	-32.640004390085
73.639999389648	-32.658227676703
73.750000000000	-32.676024194869
73.860000610352	-32.693402582371
73.970001220703	-32.710368735200
74.080001831055	-32.726921956051
74.190002441406	-32.743054131205
74.300003051758	-32.758749707037
74.410003662109	-32.773995331640
74.519996643066	-32.788776743269
74.629997253418	-32.803092909722
74.739997863770	-32.816948141031
74.849998474121	-32.830353317997
74.959999084473	-32.843314120811
75.069999694824	-32.855834390904
75.180000305176	-32.867911586613
75.290000915527	-32.879531185769
75.400001525879	-32.890673676258
75.510002136230	-32.901321810940
75.620002746582	-32.911467181285
75.730003356934	-32.921106989915
75.839996337891	-32.930247927955
75.949996948242	-32.938903174864
76.059997558594	-32.947082896699
76.169998168945	-32.954791370829
76.279998779297	-32.962020465313
76.389999389648	-32.968757205299
76.500000000000	-32.974979406574
76.610000610352	-32.980667291133
76.720001220703	-32.985808652065
76.830001831055	-32.990401878351
76.940002441406	-32.994450908558
77.050003051758	-32.997964943353
77.160003662109	-33.000957374523
77.269996643066	-33.003427423177
77.379997253418	-33.005370794180
77.489997863770	-33.006770876018
77.599998474121	-33.007610434758
77.709999084473	-33.007871600539
77.819999694824	-33.007539455980
77.930000305176	-33.006610859320
78.040000915527	-33.005089010961
78.150001525879	-33.002977025363
78.260002136230	-33.000285131783
78.370002746582	-32.997009881389
78.480003356934	-32.993147802870
78.589996337891	-32.988684175499
78.699996948242	-32.983602018490
78.809997558594	-32.977882756603
78.919998168945	-32.971515370663
79.029998779297	-32.964491336724
79.139999389648	-32.956812497858
79.250000000000	-32.948478224016
79.360000610352	-32.939492655146
79.470001220703	-32.929852997502
79.580001831055	-32.919552320256
79.690002441406	-32.908576606900
79.800003051758	-32.896907804397
79.910003662109	-32.884527525586
80.019996643066	-32.871421285729
80.129997253418	-32.857580465963
80.239997863770	-32.842998011306
80.349998474121	-32.827676984673
80.459999084473	-32.811616589538
80.569999694824	-32.794815086930
80.680000305176	-32.777266487086
80.790000915527	-32.758958601290
